Jawa-CZ,125,1974
Jawa-CZ,175,1974
Kawasaki,100 G 7 T,1974
Kawasaki,125 KS,1974
Kawasaki,250 F 11,1974
Kawasaki,250 S 1 Mach I,1974
Kawasaki,400 S 3 Mach II,1974
Laverda,1000,1974
Laverda,750 SF,1974
Laverda,750 SF 2,1974
Laverda,750 SFC,1974
Maico,MD 125-6,1974
Maico,MD 250-6,1974
MBK,125 LT,1974
MBK,350,1974
Moto Guzzi,250 TS,1974
Moto Guzzi,850 T,1974
Moto Guzzi,V 7 850 California,1974
Moto Guzzi,V7 750 Sport,1974
Moto Guzzi,V7 850 GT,1974
Moto Morini,3 1-2 V,1974
MuZ,TS 150,1974
MuZ,TS 250,1974
MV Agusta,750 S,1974
MV Agusta,750 SS Daytona,1974
Münch,4-1200 TTS,1974
Münch,4-1200 TTS-E,1974
Norton,Commando 850 Interstate,1974
Norton,MK2A 850 Commando Roadster,1974
Pannonia,P 12,1974
Pannonia,P 21,1974
Pannonia,T 5,1974
Puch,125 GS,1974
Puch,175 GS,1974
Rockford,Tora,1974
Suzuki,GT 125,1974
Suzuki,GT 250,1974
Suzuki,GT 380,1974
Suzuki,GT 550,1974
Suzuki,GT 750,1974
Suzuki,T 500,1974
Suzuki,TS 125,1974
Suzuki,TS 250,1974
Triumph,T 150 V Trident 750,1974
Ural,M 66,1974
Ural,M 66 (with sidecar),1974
Ural,M-63 (with sidecar),1974
Voskhod,2,1974
Yamaha,DT 125 E,1974
Yamaha,DT 175,1974
Yamaha,DT 250,1974
Yamaha,DT 360,1974
Yamaha,RD 125,1974
Yamaha,RD 250 (5-speed),1974
Yamaha,RD 250 (6-speed),1974
Yamaha,RD 350 (5-speed),1974
Yamaha,RD 350 (6-speed),1974
Yamaha,TX 750,1974
Zündapp,KS 125 Sport,1974
Benelli,125 2 C,1975
Benelli,250 2 C,1975
Benelli,500 Quattro,1975
Benelli,750 Sei,1975
Benelli,Tornado 650 S,1975
BMW,R 60-6,1975
BMW,R 75-6,1975
BMW,R 90 S,1975
BMW,R 90-6,1975
Bultaco,Metralla 250 GT,1975
Dnepr,MT 10 (with sidecar),1975
Dnepr,MT-10 36,1975
Dnepr,MT-9,1975
Dnepr,MW 750 M,1975
Ducati,350 GTL,1975
Ducati,500 GTL,1975
Ducati,750 SS,1975
Ducati,860 GT,1975
Ducati,900 SS,1975
Fantic,TX 141 Chopper,1975
Gilera,150 Strada,1975
Harley-Davidson,FLH 1200 Electra Glide,1975
Harley-Davidson,FX 1200,1975
Harley-Davidson,FXE 1200 Super Glide,1975
Harley-Davidson,XLCH 1000 Sportster,1975
Harley-Davidson,XLH 1000 Sportster,1975
Honda,CB 125 disc,1975
Honda,CB 200,1975
Honda,CB 250 disc,1975
Honda,CB 250 G,1975
Honda,CB 350 disc,1975
Honda,CB 360 G,1975
Honda,CB 400 F,1975
Honda,CB 450 disc,1975
Honda,CB 500 F,1975
Honda,CB 500 T,1975
Honda,CB 550 SS,1975
Honda,CB 750 F,1975
Honda,CB 750 F 1,1975
Honda,GL 1000 Gold Wing,1975
Honda,SL 125 S,1975
Honda,XL 250,1975
Jawa,350,1975
Jawa-CZ,125,1975
Jawa-CZ,175,1975
Jawa-CZ,175 Enduro,1975
Jawa-CZ,250 Enduro,1975
Kawasaki,F-11 250B,1975
Kawasaki,G5 100,1975
Kawasaki,KE 100,1975
Kawasaki,KE 125,1975
Kawasaki,KE 175,1975
Kawasaki,KH 250,1975
Kawasaki,KH 400,1975
Kawasaki,KH 500,1975
Kawasaki,KX 900,1975
Kawasaki,Z 400,1975
Kawasaki,Z 900,1975
Maico,MD 125-6,1975
Maico,MD 250-6,1975
MBK,125 LT,1975
MBK,350,1975
Moto Guzzi,250 TS,1975
Moto Guzzi,500 Sahara,1975
Moto Guzzi,750 S,1975
Moto Guzzi,850 California,1975
Moto Guzzi,850 T,1975
Moto Guzzi,V 1000 I-Convert,1975
Moto Morini,3 1-2 V,1975
Moto Morini,3 1-2 VS,1975
MuZ,TS 150,1975
MuZ,TS 250,1975
MV Agusta,125 S,1975
MV Agusta,350 S,1975
Puch,125 GS,1975
Puch,175 GS,1975
Puch,MC 125,1975
Puch,VZ 50 3P,1975
Sanglas,400 E,1975
Suzuki,GT 125,1975
Suzuki,GT 185,1975
Suzuki,GT 250,1975
Suzuki,GT 380,1975
Suzuki,GT 550,1975
Suzuki,GT 750,1975
Suzuki,RE 5 Rotary,1975
Suzuki,TS 125,1975
Suzuki,TS 250,1975
Triumph,T 150 V Trident 750,1975
Ural,M 66,1975
Ural,M 66 (with sidecar),1975
Ural,M-63 (with sidecar),1975
Voskhod,2,1975
Yamaha,DT 125 E,1975
Yamaha,DT 175,1975
Yamaha,DT 250,1975
Yamaha,DT 360,1975
Yamaha,DT 400,1975
Yamaha,GT80 B,1975
Yamaha,MX 175 B,1975
Yamaha,RD 125,1975
Yamaha,RD 200,1975
Yamaha,RD 250,1975
Yamaha,RD 350,1975
Yamaha,RS 100,1975
Yamaha,XS 650,1975
Yamaha,XS500B,1975
Zündapp,KS 125 Sport,1975
Benelli,125 2 C,1976
Benelli,250 2 C,1976
Benelli,500 Quattro,1976
Benelli,750 Sei,1976
Benelli,Tornado 650 S,1976
BMW,R 100 RS,1976
BMW,R 100 S,1976
BMW,R 100-7,1976
BMW,R 60-7,1976
BMW,R 75-7,1976
CZ,250 Twin,1976
CZ,350 Twin,1976
Dnepr,K-750M,1976
Dnepr,MB-750M,1976
Dnepr,MT-10,1976
Dnepr,MT-10 36,1976
Dnepr,MT-9,1976
Dnepr,MW 750 M,1976
Ducati,350 GTL,1976
Ducati,500 GTL,1976
Ducati,750 SS,1976
Ducati,860 GT,1976
Ducati,860 GTS,1976
Ducati,900 SS,1976
Gilera,150 Strada,1976
Harley-Davidson,FLH 1200 Electra Glide,1976
Harley-Davidson,SS 250,1976
Harley-Davidson,SX 125,1976
Harley-Davidson,SX 175,1976
Harley-Davidson,SX 250,1976
Harley-Davidson,XLCH 1000 Sportster,1976
Harley-Davidson,XLH 1000 Sportster,1976
Hercules,K 125 Military,1976
Hercules,K 125 S,1976
Hercules,W 2000,1976
Honda,CB 125 disc,1976
Honda,CB 125 S,1976
Honda,CB 200,1976
Honda,CB 200 disc,1976
Honda,CB 400 F,1976
Honda,CB 500 F,1976
Honda,CB 500 T,1976
Honda,CG 125,1976
Honda,CJ 250 T,1976
Honda,CJ 360 T,1976
Honda,GL 1000 Gold Wing,1976
Honda,GL 1000 LTD,1976
Honda,XL 125,1976
Honda,XL 250,1976
Jawa,350,1976
Kawasaki,KE 125,1976
Kawasaki,KH 250,1976
Kawasaki,KH 400,1976
Kawasaki,KH 500,1976
Kawasaki,KH100-B7,1976
Kawasaki,Z 1000,1976
Kawasaki,Z 400,1976
Kawasaki,Z 650,1976
Laverda,1000 3 C,1976
Laverda,500 RS,1976
Laverda,750 SF 3,1976
Laverda,750 SF 3 S,1976
Laverda,750 SFC,1976
Maico,MD 125-6,1976
Maico,MD 250-6,1976
Moto Guzzi,254,1976
Moto Guzzi,750 S 3,1976
Moto Guzzi,850 Le Mans,1976
Moto Guzzi,850 T 3,1976
Moto Guzzi,850 T 3 California,1976
Moto Guzzi,TS 250 FD,1976
Moto Guzzi,V 1000 I-Convert,1976
Moto Morini,125 T,1976
Moto Morini,3 1-2 V,1976
MV Agusta,125 S,1976
MV Agusta,350 S,1976
MV Agusta,500 SS,1976
MV Agusta,800 SS Super Daytona America,1976
MV Agusta,900 S Arturo Magni - Cento Valli,1976
Münch,4-1200 TTS-E,1976
Norton,Commando 850 Interstate MK 3,1976
Puch,Maxi LF (LongFrame),1976
Sanglas,400 E,1976
Sanglas,500 S,1976
Suzuki,AP 50,1976
Suzuki,GS 400,1976
Suzuki,GS 750,1976
Suzuki,GT 125,1976
Suzuki,GT 185,1976
Suzuki,GT 250,1976
Suzuki,GT 380,1976
Suzuki,GT 500,1976
Suzuki,GT 550,1976
Suzuki,GT 750,1976
Suzuki,RE 5 Rotary,1976
Suzuki,RV 125,1976
Suzuki,RV 90,1976
Suzuki,TS 100 A,1976
Suzuki,TS 125,1976
Suzuki,TS 250,1976
Triumph,T 140 V Bonneville,1976
Triumph,T 140 V Tiger,1976
Triumph,T 160 V Trident 750,1976
Ural,M-63 (with sidecar),1976
Van Veen,OCR 1000,1976
Yamaha,DT 125 E,1976
Yamaha,DT 250,1976
Yamaha,DT 400,1976
Yamaha,RD 125 DX,1976
Yamaha,RD 200 DX,1976
Yamaha,RD 250 DX,1976
Yamaha,RD 400 C,1976
Yamaha,RS 100 DX,1976
Yamaha,RS 125,1976
Yamaha,TY 50,1976
Yamaha,TY50p,1976
Yamaha,XS 360 C,1976
Yamaha,XS 500,1976
Yamaha,XS 650,1976
Yamaha,XS 750,1976
Yamaha,XT 500,1976
Zündapp,KS 125 Sport,1976
Zündapp,KS 175,1976
Zündapp,KS 350,1976
Benelli,125 SE,1977
Benelli,250 2 C,1977
Benelli,250 Quattro,1977
Benelli,500 LS,1977
Benelli,750 Sei,1977
BMW,R 100 RS,1977
BMW,R 100 S,1977
BMW,R 100-7,1977
BMW,R 60-7,1977
BMW,R 80-7,1977
Dnepr,MB-750M,1977
Dnepr,MT 10 (with sidecar),1977
Dnepr,MT-10 36,1977
Dnepr,MW 750 M,1977
Ducati,125 Enduro,1977
Ducati,350 GTV,1977
Ducati,350 S Desmo,1977
Ducati,500 GTV,1977
Ducati,500 S Desmo,1977
Ducati,750 SS,1977
Ducati,860 GTS,1977
Ducati,900 SD Darmah,1977
Ducati,900 SS,1977
Enfield,350 Bullet,1977
Harley-Davidson,FLH 1200 Electra Glide,1977
Harley-Davidson,FX 1200,1977
Harley-Davidson,SX 175,1977
Harley-Davidson,SX 250,1977
Harley-Davidson,SXT 125,1977
Harley-Davidson,XLCH 1000 Sportster,1977
Harley-Davidson,XLCR 1000 Cafe Racer,1977
Harley-Davidson,XLH 1000 Sportster,1977
Hercules,K 125 Military,1977
Hercules,K 125 S,1977
Hercules,W 2000,1977
Honda,CB 125 Disc,1977
Honda,CB 125 S (J),1977
Honda,CB 125 T,1977
Honda,CB 200 Disc,1977
Honda,CB 400 F,1977
Honda,CB 500 F,1977
Honda,CB 500 T,1977
Honda,CB 750 F 1,1977
Honda,CB 750 F 2,1977
Honda,CB 750 K,1977
Honda,CJ 250 T,1977
Honda,CJ 360 T,1977
Honda,CT 125,1977
Honda,GL 1000 Gold Wing,1977
Honda,ST 70 DAX,1977
Honda,TL 125 S,1977
Honda,XL 125,1977
Honda,XL 250,1977
IZH,Planeta Sport,1977
Jawa,350,1977
Jawa,50 - 20 - Yezdi - Colt,1977
Kawasaki,KE 125,1977
Kawasaki,KE 175 B,1977
Kawasaki,KZ 650,1977
Kawasaki,KZ1000 LTD,1977
Kawasaki,KZ750,1977
Kawasaki,Z 1000,1977
Kawasaki,Z 200,1977
Kawasaki,Z 400,1977
Kawasaki,Z 650,1977
Kawasaki,Z 750,1977
KTM,125 RS,1977
Laverda,1000 3 C,1977
Laverda,500,1977
Laverda,500 RS,1977
Laverda,750 SF 3,1977
Laverda,750 SF 3 S,1977
Maico,MD 250-6,1977
MM,VZ 3,1977
Moto Guzzi,850T,1977
Moto Guzzi,TS 250 FD,1977
Moto Guzzi,V 1000 I-Convert,1977
Moto Guzzi,V 35,1977
Moto Guzzi,V 50,1977
Moto Morini,125 T,1977
Moto Morini,250 T,1977
Moto Morini,3 1-2 Sport,1977
Moto Morini,3 1-2 Touring,1977
MuZ,TS 125,1977
MuZ,TS 250-1,1977
MV Agusta,125 S,1977
MV Agusta,350 S,1977
MV Agusta,500 S,1977
MV Agusta,500 SS,1977
MV Agusta,800 S America,1977
MV Agusta,800 SS Super America,1977
MV Agusta,800 SS Super Daytona America,1977
MV Agusta,900 S Arturo Magni - Cento Valli,1977
Münch,4-1200 TTS-E,1977
Norton,Commando 850 Interstate MK 3,1977
Puch,Maxi Sport,1977
